전국순위,기초,sido,인구,자연휴양림_개소,자연휴양림_수용인원,국립휴양림_개소,국립휴양림_연이용자,치유의숲_개소,치유의숲_면적ha,유아숲체험원_개소,수목원_개소,산림교육센터_개소,휴양림수용_10만명당,치유의숲ha_10만명당,유아숲_10만명당,수목원_10만명당,산림교육센터_10만명당,국립휴양림이용_천명당,접근성_상대_0to100,종합공급점수,시도_미충족잠재수요율,z_수요격차,z_공급부족,우선확충지수,우선확충지수_0100,등급,유형
161,충북 옥천군,충북,48204.0,1.0,2500.0,0.0,0.0,1.0,50.0,0,0,0,5186.292,103.726,0.0,0.0,0.0,0.0,100.0,0.311,47.053,-0.15,-0.512,-0.617,57.2,3순위(관찰),D. 공급보유·수요低 → 유지
162,충북 진천군,충북,86537.0,1.0,184.0,0.0,0.0,1.0,56.0,1,0,0,212.626,64.712,1.156,0.0,0.0,0.0,87.9,0.319,47.053,-0.15,-0.525,-0.63,57.0,3순위(관찰),D. 공급보유·수요低 → 유지
163,전북 전주시,전북,635651.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0,0.0,0.0,1.259,0.157,0.0,0.0,82.099,-0.313,21.831,-1.638,0.514,-0.632,56.9,3순위(관찰),B. 공급취약·수요低 → 인지도/홍보
164,광주 북구,광주,423961.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.472,0.0,0.0,0.0,73.7,-0.549,12.142,-2.21,0.903,-0.644,56.8,3순위(관찰),B. 공급취약·수요低 → 인지도/홍보
165,울산 울주군,울산,218806.0,1.0,200.0,1.0,117649.0,1.0,185.0,0,0,0,91.405,84.55,0.0,0.0,0.0,537.686,62.3,0.046,35.579,-0.827,-0.076,-0.655,56.6,3순위(관찰),D. 공급보유·수요低 → 유지
166,경남 창녕군,경남,56085.0,2.0,296.0,0.0,0.0,0.0,0.0,1,0,0,527.77,0.0,1.783,0.0,0.0,0.0,82.0,0.038,34.859,-0.87,-0.063,-0.671,56.4,3순위(관찰),D. 공급보유·수요低 → 유지
166,충남 서천군,충남,48204.0,2.0,500.0,1.0,117714.0,1.0,65.0,1,0,0,1037.258,134.844,2.075,0.0,0.0,2441.997,80.3,0.602,57.382,0.459,-0.991,-0.669,56.4,3순위(관찰),C. 공급보유·수요高 → 접근성/연계
168,경기 과천시,경기,85512.0,0.0,0.0,0.0,0.0,1.0,50.0,2,1,0,0.0,58.471,2.339,1.169,0.0,0.0,64.2,0.644,58.621,0.532,-1.059,-0.686,56.1,3순위(관찰),C. 공급보유·수요高 → 접근성/연계
168,강원 홍천군,강원,66717.0,1.0,234.0,1.0,60449.0,1.0,75.0,4,0,0,350.735,112.415,5.995,0.0,0.0,906.051,66.2,0.784,64.119,0.857,-1.29,-0.69,56.1,3순위(관찰),C. 공급보유·수요高 → 접근성/연계
170,강원 태백시,강원,37936.0,1.0,191.0,0.0,0.0,1.0,55.0,2,0,0,503.48,144.981,5.272,0.0,0.0,0.0,58.0,0.796,64.119,0.857,-1.309,-0.71,55.8,3순위(관찰),C. 공급보유·수요高 → 접근성/연계
